ID,MU
ch_30_0100000,0.0
ch_31_0100000,0.0
ch_32_0100000,0.0
ch_33_0100000,0.0
ch_34_0100000,0.0
ch_35_0100000,0.0
ch_36_0100000,0.0
ch_37_0100000,0.0
ch_38_0100000,0.0
ch_39_0100000,0.2574712643678161
ch_40_0100000,0.0
ch_41_0100000,0.0
ch_42_0100000,0.0
ch_43_0100000,0.0
ch_44_0100000,0.0
ch_45_0100000,0.0
ch_46_0100000,0.0
ch_47_0100000,0.0
ch_48_0100000,0.0
ch_49_0100000,0.0
ch_50_0100000,0.0
ch_51_0100000,0.0
ch_52_0100000,0.0
ch_53_0100000,0.0
ch_54_0100000,0.0
ch_55_0100000,0.0
ch_56_0100000,0.0
ch_57_0100000,0.0
ch_58_0100000,0.0
ch_59_0100000,0.0
ch_0_0100000,0.0
ch_1_0100000,0.0
ch_2_0100000,0.0
ch_3_0100000,0.0
ch_4_0100000,0.0
ch_5_0100000,0.0
ch_6_0100000,0.0
ch_7_0100000,0.0
ch_8_0100000,0.0
ch_9_0100000,0.0
ch_10_0100000,0.0
ch_11_0100000,0.0
ch_12_0100000,0.0
ch_13_0100000,0.22988505747126448
ch_14_0100000,0.0
ch_15_0100000,0.0
ch_16_0100000,0.0
ch_17_0100000,0.0
it_1_0100000,0.0
it_2_0100000,0.0
it_3_0100000,0.0
it_4_0100000,0.0
it_5_0100000,0.0
it_6_0100000,0.0
it_7_0100000,0.6712643678160918
it_8_0100000,0.0
it_9_0100000,0.0
it_10_0100000,0.24827586206896554
it_11_0100000,0.0
it_12_0100000,0.0
it_13_0100000,0.0
it_14_0100000,0.0
it_15_0100000,0.0
it_16_0100000,0.0
it_17_0100000,0.0
it_18_0100000,0.0
it_19_0100000,0.0
it_20_0100000,0.0
it_21_0100000,0.0
it_22_0100000,0.0
it_23_0100000,0.1195402298850575
it_24_0100000,0.09310344827586209
it_25_0100000,0.0
it_26_0100000,0.0
it_27_0100000,0.0
it_28_0100000,0.03333333333333332
it_29_0100000,0.0
it_30_0100000,0.0
