ID,MU
it_10_1000000,0.0
it_11_1000000,0.0
it_12_1000000,0.4471264367816092
it_13_1000000,0.0
it_14_1000000,0.0
it_15_1000000,0.14367816091954022
it_16_1000000,0.24022988505747128
it_17_1000000,0.0
it_18_1000000,0.0
it_19_1000000,0.14367816091954022
it_20_1000000,0.0
it_21_1000000,0.0
it_22_1000000,0.0
it_23_1000000,0.0
it_24_1000000,0.0
it_25_1000000,0.0
it_26_1000000,0.0
it_27_1000000,0.0
it_28_1000000,0.0
it_29_1000000,0.8057471264367816
it_30_1000000,0.0
ch_18_1000000,0.0
ch_19_1000000,0.0
ch_20_1000000,0.0
ch_21_1000000,0.0
ch_22_1000000,0.0
ch_23_1000000,0.0
ch_24_1000000,0.3402298850574713
ch_25_1000000,0.0
ch_26_1000000,0.03333333333333332
ch_27_1000000,0.0
ch_28_1000000,0.0
ch_29_1000000,0.0
ch_30_1000000,0.0
ch_31_1000000,0.0
ch_32_1000000,0.0
ch_33_1000000,0.0
ch_34_1000000,0.0
ch_35_1000000,0.0
ch_36_1000000,0.0
ch_37_1000000,0.685057471264368
ch_38_1000000,0.0
ch_39_1000000,0.0
ch_40_1000000,0.0
ch_41_1000000,0.0
ch_42_1000000,0.0
ch_43_1000000,0.0
ch_44_1000000,0.0
ch_45_1000000,0.0
ch_46_1000000,0.16551724137931031
ch_47_1000000,0.0
ch_48_1000000,0.0
ch_49_1000000,0.0
ch_50_1000000,0.0
ch_51_1000000,0.6160919540229887
ch_52_1000000,0.0
ch_53_1000000,0.11954022988505747
ch_54_1000000,0.0
ch_55_1000000,0.0
ch_56_1000000,0.0
ch_57_1000000,0.0
ch_58_1000000,0.0
ch_59_1000000,0.0
ch_0_1000000,0.0
ch_1_1000000,0.0
ch_2_1000000,0.14367816091954022
ch_3_1000000,0.0
ch_4_1000000,0.0
ch_5_1000000,0.0
ch_6_1000000,0.0
ch_7_1000000,0.0
ch_8_1000000,0.0
ch_9_1000000,0.0
ch_10_1000000,0.0
ch_11_1000000,0.0
ch_12_1000000,0.06436781609195402
ch_13_1000000,0.18505747126436778
ch_14_1000000,0.0
ch_15_1000000,0.0
ch_16_1000000,0.0
ch_17_1000000,0.0
